"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GEOMETRY","AREA","map_class"
"77","1.27309895181607","16.3842245958387","0","0","0","region","country","points","1","4"
"210","1.272016708053","16.4375251012185","0","0","0","region","country","points","1","4"
"76","1.27147558617146","16.4331961261623","0","0","0","region","country","points","1","4"
"137","1.25361856408071","16.4451008075669","0","0","0","region","country","points","1","4"
"215","1.23305593258227","16.4429363200388","0","0","0","region","country","points","1","4"
"280","1.23143256693765","16.4440185638028","0","0","0","region","country","points","1","4"
"15","1.22602134812227","16.5113882381153","0","0","0","region","country","points","1","4"
"4","1.22385686059612","16.5086826287052","0","0","0","region","country","points","1","4"
"147","1.22331573871458","16.4908256065983","0","0","0","region","country","points","1","4"
"45","1.22196293401074","16.4981307520056","0","0","0","region","country","points","1","4"
"122","1.21898676366228","16.4902844847162","0","0","0","region","country","points","1","4"
"240","1.21384610578767","16.4529470748563","0","0","0","region","country","points","1","4"
"233","1.21303442296536","16.4602522202637","0","0","0","region","country","points","1","4"
"133","1.19463627899307","16.5113882381153","0","0","0","region","country","points","1","4"
"266","1.19247179146692","16.5167994569356","0","0","0","region","country","points","1","4"
"173","1.19220123052615","16.5130116037614","0","0","0","region","country","points","1","4"
"242","1.19138954770384","16.5197756272868","0","0","0","region","country","points","1","4"
"87","1.18651945077","16.5143644084665","0","0","0","region","country","points","1","4"
"286","1.17272084279079","16.5002952395338","0","0","0","region","country","points","1","4"
"261","1.16379233174541","16.4989424348287","0","0","0","region","country","points","1","4"
"247","1.14674699247697","16.4986718738877","0","0","0","region","country","points","1","4"
"185","1.1386301642539","16.5059770192951","0","0","0","region","country","points","1","4"
"110","1.1272666047416","16.5149055303485","0","0","0","region","country","points","1","4"
"63","1.12347875157083","16.5181522616407","0","0","0","region","country","points","1","4"
"166","1.12131426404468","16.5327625524554","0","0","0","region","country","points","1","4"
"160","1.12050258122238","16.5305980649273","0","0","0","region","country","points","1","4"
"46","1.10913902171008","16.5403382588038","0","0","0","region","country","points","1","4"
"72","1.09209368244163","16.5527840620905","0","0","0","region","country","points","1","4"
"119","1.06639039306858","16.5471022823292","0","0","0","region","country","points","1","4"
"78","1.05096841944475","16.5389854540988","0","0","0","region","country","points","1","4"
"111","1.01525437526325","16.5319508696324","0","0","0","region","country","points","1","4"
"244","0.99929127975788","16.5208578710508","0","0","0","region","country","points","1","4"
"98","0.996585670350191","16.5259985289301","0","0","0","region","country","points","1","4"
"251","0.98359874519328","16.524375163284","0","0","0","region","country","points","1","4"
"168","0.973046868503291","16.5268102117531","0","0","0","region","country","points","1","4"
"265","0.970341259095601","16.5268102117531","0","0","0","region","country","points","1","4"
"167","0.961412748050225","16.5379032103347","0","0","0","region","country","points","1","4"
"123","0.950860871360235","16.543043868214","0","0","0","region","country","points","1","4"
"239","0.946531896307932","16.5498078917393","0","0","0","region","country","points","1","4"
"256","0.943285165018705","16.543314429155","0","0","0","region","country","points","1","4"
"90","0.934627214914098","16.5519723792674","0","0","0","region","country","points","1","4"
"269","0.90270102390336","16.5703705232564","0","0","0","region","country","points","1","4"
"41","0.893501951917215","16.5671237919642","0","0","0","region","country","points","1","4"
"178","0.881597270523381","16.5863336187762","0","0","0","region","country","points","1","4"
"62","0.858058468676481","16.5903920328914","0","0","0","region","country","points","1","4"
"252","0.839119202822653","16.5874158625403","0","0","0","region","country","points","1","4"
"216","0.837766398118808","16.5855219359532","0","0","0","region","country","points","1","4"
"202","0.822614985435746","16.5866041797172","0","0","0","region","country","points","1","4"
"19","0.815580400975753","16.5847102531301","0","0","0","region","country","points","1","4"
"17","0.805569646167302","16.5830868874841","0","0","0","region","country","points","1","4"
